iter	Passed	Remaining
841	8788	1649
842	8798	1638
843	8807	1627
844	8817	1617
845	8827	1606
846	8836	1596
847	8845	1585
848	8855	1575
849	8865	1564
850	8874	1553
851	8885	1543
852	8894	1532
853	8906	1522
854	8914	1511
855	8922	1501
856	8933	1490
857	8943	1480
858	8952	1469
859	8963	1459
860	8971	1448
861	8980	1437
862	8991	1427
863	9004	1417
864	9021	1408
865	9031	1397
866	9040	1386
867	9051	1376
868	9061	1366
869	9070	1355
870	9080	1344
871	9091	1334
872	9102	1324
873	9112	1313
874	9123	1303
875	9133	1292
876	9144	1282
877	9153	1271
878	9163	1261
879	9172	1250
880	9180	1240
881	9187	1229
882	9197	1218
883	9206	1208
884	9220	1198
885	9230	1187
886	9241	1177
887	9251	1166
888	9256	1155
889	9266	1145
890	9275	1134
891	9286	1124
892	9296	1113
893	9305	1103
894	9314	1092
895	9324	1082
896	9333	1071
897	9343	1061
898	9352	1050
899	9362	1040
900	9371	1029
901	9381	1019
902	9390	1008
903	9399	998
904	9409	987
905	9418	977
906	9427	966
907	9436	956
908	9446	945
909	9459	935
910	9471	925
911	9481	914
912	9490	904
913	9500	893
914	9509	883
915	9518	872
916	9528	862
917	9537	851
918	9546	841
919	9557	831
920	9566	820
921	9576	810
922	9585	799
923	9595	789
924	9605	778
925	9617	768
926	9627	758
927	9637	747
928	9648	737
929	9657	726
930	9666	716
931	9681	706
932	9693	696
933	9703	685
934	9713	675
935	9722	664
936	9732	654
937	9741	643
938	9751	633
939	9760	622
940	9769	612
941	9778	602
942	9788	591
943	9797	581
944	9807	570
945	9816	560
946	9825	549
947	9835	539
948	9844	529
949	9853	518
950	9862	508
951	9872	497
952	9884	487
953	9893	477
954	9903	466
955	9913	456
956	9922	445
957	9930	435
958	9942	425
959	9951	414
960	9962	404
961	9971	393
962	9979	383
963	9991	373
964	10001	362
965	10014	352
966	10028	342
967	10040	331
968	10052	321
969	10060	311
970	10069	300
971	10078	290
972	10085	279
973	10093	269
974	10103	259
975	10108	248
976	10117	238
977	10127	227
978	10136	217
979	10146	207
980	10157	196
981	10167	186
